timestamp,value,stat_anomaly,if_anomaly,alert_reason
2014-05-14 01:14:00,85.835,True,True,Critical: Both methods flagged
2014-05-14 01:19:00,88.167,True,True,Critical: Both methods flagged
2014-05-14 04:04:00,71.10600000000002,True,False,Warning: Statistical threshold
2014-05-14 21:14:00,73.229,True,False,Warning: Statistical threshold
2014-05-15 17:29:00,72.835,True,False,Warning: Statistical threshold
2014-05-16 21:14:00,72.949,True,False,Warning: Statistical threshold
2014-05-16 21:19:00,100.0,True,True,Critical: Both methods flagged
2014-05-16 23:09:00,72.385,True,False,Warning: Statistical threshold
2014-05-17 00:09:00,73.109,True,False,Warning: Statistical threshold
2014-05-17 03:09:00,72.555,True,False,Warning: Statistical threshold
2014-05-17 04:09:00,71.72399999999998,True,False,Warning: Statistical threshold
2014-05-17 06:09:00,72.587,True,False,Warning: Statistical threshold
2014-05-17 08:09:00,72.278,True,False,Warning: Statistical threshold
2014-05-17 09:09:00,72.999,True,False,Warning: Statistical threshold
2014-05-17 10:09:00,72.714,True,False,Warning: Statistical threshold
2014-05-17 11:09:00,72.945,True,False,Warning: Statistical threshold
2014-05-17 12:09:00,72.83,True,False,Warning: Statistical threshold
2014-05-17 13:09:00,71.671,True,False,Warning: Statistical threshold
2014-05-17 14:09:00,73.166,True,False,Warning: Statistical threshold
2014-05-17 15:09:00,71.949,True,False,Warning: Statistical threshold
2014-05-17 16:09:00,71.816,True,False,Warning: Statistical threshold
2014-05-17 17:09:00,72.49600000000002,True,False,Warning: Statistical threshold
2014-05-17 18:09:00,72.718,True,False,Warning: Statistical threshold
2014-05-17 19:09:00,72.64699999999998,True,False,Warning: Statistical threshold
2014-05-17 20:09:00,73.437,True,False,Warning: Statistical threshold
2014-05-17 21:09:00,71.38600000000002,True,False,Warning: Statistical threshold
2014-05-17 22:09:00,72.949,True,False,Warning: Statistical threshold
2014-05-17 23:09:00,71.334,True,False,Warning: Statistical threshold
2014-05-18 00:09:00,72.50399999999998,True,False,Warning: Statistical threshold
2014-05-18 01:09:00,73.833,True,False,Warning: Statistical threshold
2014-05-18 02:09:00,72.167,True,False,Warning: Statistical threshold
2014-05-18 03:09:00,73.218,True,False,Warning: Statistical threshold
2014-05-18 04:09:00,72.834,True,False,Warning: Statistical threshold
2014-05-18 05:09:00,73.118,True,False,Warning: Statistical threshold
2014-05-18 06:09:00,79.333,True,True,Critical: Both methods flagged
2014-05-18 07:09:00,86.78399999999998,True,True,Critical: Both methods flagged
2014-05-18 08:09:00,72.809,True,False,Warning: Statistical threshold
2014-05-18 09:09:00,80.053,True,True,Critical: Both methods flagged
2014-05-18 10:09:00,86.053,True,True,Critical: Both methods flagged
2014-05-18 11:09:00,79.72,True,True,Critical: Both methods flagged
2014-05-18 12:09:00,86.11,True,True,Critical: Both methods flagged
2014-05-18 13:09:00,79.446,True,True,Critical: Both methods flagged
2014-05-18 14:09:00,79.0,True,True,Critical: Both methods flagged
2014-05-18 15:09:00,78.367,True,False,Warning: Statistical threshold
2014-05-18 16:09:00,86.051,True,True,Critical: Both methods flagged
2014-05-18 17:09:00,86.28200000000002,True,True,Critical: Both methods flagged
2014-05-18 18:09:00,85.37299999999998,True,True,Critical: Both methods flagged
